Function,Mean_Difference,t_stat,p_value
Linear,1.381842,-113.552246,2.24e-28
Polynomial,0.985735,-79.979844,1.72e-25
ReLU,2.813715,-290.216854,4.10e-36
Sine,0.404246,-42.583832,2.56e-20
Gaussian,2.393844,-249.82678,7.06e-35
tanh,1.007908,-79.116749,2.12e-25
