dataset,Function,Offset,x0,y0,y1,D
same,Quartic,0.0,-5.0,625.0,625.0,0.0
same,Quartic,0.0,-2.0,16.0,16.0,0.0
same,Quartic,0.0,-1.0,1.0,1.0,0.0
same,Quartic,0.0,-0.75,0.31640625,0.31640625,0.0
same,Quartic,0.0,-0.25,0.00390625,0.00390625,0.0
same,Quartic,0.0,-0.0001,1.0000000000000002e-16,1.0000000000000002e-16,0.0
same,Quartic,0.0,0.0,0.0,0.0,0.0
same,Quartic,0.0,0.25,0.00390625,0.00390625,0.0
same,Quartic,0.0,0.5,0.0625,0.0625,0.0
same,Quartic,0.0,1.0,1.0,1.0,0.0
same,Quartic,0.0,2.0,16.0,16.0,0.0
same,Quartic,0.0,3.1416,97.41000217650831,97.41000217650831,0.0
same,Quartic,0.0,7.0,2401.0,2401.0,0.0
same,Quartic,0.0,10.0,10000.0,10000.0,0.0
same,Quartic,0.0,50.0,6250000.0,6250000.0,0.0
same,Quartic,0.0,100.0,100000000.0,100000000.0,0.0
same,Quartic,0.0,-50.0,6250000.0,6250000.0,0.0
same,Quartic,0.0,-100.0,100000000.0,100000000.0,0.0
same,Quartic,0.1,-10.0,10000.0,9605.960100000002,-394.03989999999794
same,Quartic,0.1,-7.0,2401.0,2266.7121000000006,-134.28789999999935
same,Quartic,0.1,-5.0,625.0,576.4801000000002,-48.51989999999978
same,Quartic,0.1,-2.0,16.0,13.032099999999998,-2.967900000000002
same,Quartic,0.1,-1.0,1.0,0.6561,-0.3439
same,Quartic,0.1,-0.75,0.31640625,0.17850625000000003,-0.13789999999999997
same,Quartic,0.1,-0.25,0.00390625,0.00050625,-0.0034000000000000002
same,Quartic,0.1,-0.0001,1.0000000000000002e-16,9.960059960010001e-05,9.96005996e-05
same,Quartic,0.1,0.0,0.0,0.00010000000000000002,0.00010000000000000002
same,Quartic,0.1,0.25,0.00390625,0.015006249999999997,0.011099999999999997
same,Quartic,0.1,0.5,0.0625,0.1296,0.06709999999999999
same,Quartic,0.1,1.0,1.0,1.4641000000000004,0.4641000000000004
same,Quartic,0.1,2.0,16.0,19.448100000000004,3.4481000000000037
same,Quartic,0.1,3.1416,97.41000217650831,110.41744528982672,13.007443113318402
same,Quartic,0.1,7.0,2401.0,2541.1680999999994,140.1680999999994
same,Quartic,0.1,10.0,10000.0,10406.040099999998,406.04009999999835
same,Quartic,0.1,50.0,6250000.0,6300150.200100001,50150.20010000095
same,Quartic,0.1,100.0,100000000.0,100400600.40009998,400600.40009997785
same,Quartic,0.1,-50.0,6250000.0,6200149.8001,-49850.199900000356
