experiment,x0,function,x1,n0,n1,n_prime,Q,n,D,abs_D
"n0=0.0,n1=0.0",0.25,ReLU,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-0.75,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",3.1416,ReLU,3.1416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",1.4142,ReLU,1.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-2.7183,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",100.0,ReLU,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-100.0,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",0.0001,ReLU,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-0.0001,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",10.0,ReLU,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-10.0,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",7.0,ReLU,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",-7.0,ReLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"n0=0.0,n1=0.0",1.0,Sine,0.8414709848078965,0.0,0.0,0.0,-0.1260644395247408,-0.1260644395247408,0.019984871448601643,0.019984871448601643
"n0=0.0,n1=0.0",2.0,Sine,0.9092974268256817,0.0,0.0,0.0,-1.0304471186636246,-1.0304471186636246,1.1239113238464773,1.1239113238464773
"n0=0.0,n1=0.0",5.0,Sine,-0.9589242746631385,0.0,0.0,0.0,-0.2907386937307078,-0.2907386937307078,1.7324898596557663,1.7324898596557663
"n0=0.0,n1=0.0",-1.0,Sine,-0.8414709848078965,0.0,0.0,0.0,-0.1260644395247408,-0.1260644395247408,-0.019984871448601643,0.019984871448601643
"n0=0.0,n1=0.0",-2.0,Sine,-0.9092974268256817,0.0,0.0,0.0,-1.0304471186636246,-1.0304471186636246,-1.1239113238464773,1.1239113238464773
"n0=0.0,n1=0.0",-5.0,Sine,0.9589242746631385,0.0,0.0,0.0,-0.2907386937307078,-0.2907386937307078,-1.7324898596557663,1.7324898596557663
"n0=0.0,n1=0.0",0.5,Sine,0.479425538604203,0.0,0.0,0.0,-0.00967748882727991,-0.00967748882727991,0.0001991091202851276,0.0001991091202851276
"n0=0.0,n1=0.0",0.25,Sine,0.24740395925452294,0.0,0.0,0.0,-0.000639005081692857,-0.000639005081692857,1.6588832286415674e-06,1.6588832286415674e-06
"n0=0.0,n1=0.0",-0.75,Sine,-0.6816387600233341,0.0,0.0,0.0,-0.04485236536869406,-0.04485236536869406,-0.003066163312490395,0.003066163312490395
"n0=0.0,n1=0.0",3.1416,Sine,-7.346410206643587e-06,0.0,0.0,0.0,-1.9999999999460303,-1.9999999999460303,6.283214692650861,6.283214692650861
"n0=0.0,n1=0.0",1.4142,Sine,0.9877638309353215,0.0,0.0,0.0,-0.3946008914047187,-0.3946008914047187,0.16827209244013547,0.16827209244013547
"n0=0.0,n1=0.0",-2.7183,Sine,-0.41076472282491605,0.0,0.0,0.0,-1.828557108193887,-1.828557108193887,-4.219460033486651,4.219460033486651
"n0=0.0,n1=0.0",100.0,Sine,-0.5063656411097588,0.0,0.0,0.0,-0.012194078924783013,-0.012194078924783013,1.2255825550707922,1.2255825550707922
"n0=0.0,n1=0.0",-100.0,Sine,0.5063656411097588,0.0,0.0,0.0,-0.012194078924783013,-0.012194078924783013,-1.2255825550707922,1.2255825550707922
"n0=0.0,n1=0.0",0.0001,Sine,9.999999983333334e-05,0.0,0.0,0.0,-1.6666666106652385e-17,-1.6666666106652385e-17,2.7777775985072285e-30,2.7777775985072285e-30
"n0=0.0,n1=0.0",-0.0001,Sine,-9.999999983333334e-05,0.0,0.0,0.0,-1.6666666106652385e-17,-1.6666666106652385e-17,-2.7777775985072285e-30,2.7777775985072285e-30
"n0=0.0,n1=0.0",10.0,Sine,-0.5440211108893698,0.0,0.0,0.0,-1.6947058838978188,-1.6947058838978188,17.86901461656703,17.86901461656703
"n0=0.0,n1=0.0",-10.0,Sine,0.5440211108893698,0.0,0.0,0.0,-1.6947058838978188,-1.6947058838978188,-17.86901461656703,17.86901461656703
"n0=0.0,n1=0.0",7.0,Sine,0.6569865987187891,0.0,0.0,0.0,-0.03793395467117413,-0.03793395467117413,0.2406155828428515,0.2406155828428515
"n0=0.0,n1=0.0",-7.0,Sine,-0.6569865987187891,0.0,0.0,0.0,-0.03793395467117413,-0.03793395467117413,-0.2406155828428515,0.2406155828428515
"n0=0.0,n1=0.0",1.0,Gaussian,0.6065306597126334,0.0,0.0,0.0,-0.2843167202923702,-0.2843167202923702,0.11186991236610663,0.11186991236610663
"n0=0.0,n1=0.0",2.0,Gaussian,0.1353352832366127,0.0,0.0,0.0,-1.0613647229209167,-1.0613647229209167,1.979089350447982,1.979089350447982
"n0=0.0,n1=0.0",5.0,Gaussian,3.726653172078671e-06,0.0,0.0,0.0,-1.2533096921333935,-1.2533096921333935,6.266543790016428,6.266543790016428
"n0=0.0,n1=0.0",-1.0,Gaussian,0.6065306597126334,0.0,0.0,0.0,1.4269320634919271,1.4269320634919271,2.292410109326795,2.292410109326795
"n0=0.0,n1=0.0",-2.0,Gaussian,0.1353352832366127,0.0,0.0,0.0,1.3312113037242996,1.3312113037242996,2.842582466285908,2.842582466285908
"n0=0.0,n1=0.0",-5.0,Gaussian,3.726653172078671e-06,0.0,0.0,0.0,1.2533171454397367,1.2533171454397367,6.266590397877,6.266590397877
"n0=0.0,n1=0.0",0.5,Gaussian,0.8824969025845955,0.0,0.0,0.0,0.30025261195931396,0.30025261195931396,0.11484569406737205,0.11484569406737205
"n0=0.0,n1=0.0",0.25,Gaussian,0.9692332344763441,0.0,0.0,0.0,0.5892563149246648,0.5892563149246648,0.4238127253188779,0.4238127253188779
"n0=0.0,n1=0.0",-0.75,Gaussian,0.7548396019890073,0.0,0.0,0.0,1.374133703244097,1.374133703244097,2.0678508150695274,2.0678508150695274
"n0=0.0,n1=0.0",3.1416,Gaussian,0.007191717372991187,0.0,0.0,0.0,-1.2440165705497734,-1.2440165705497734,3.8992558424564563,3.8992558424564563
"n0=0.0,n1=0.0",1.4142,Gaussian,0.36788649716679084,0.0,0.0,0.0,-0.6964098671432455,-0.6964098671432455,0.7286630474982589,0.7286630474982589
"n0=0.0,n1=0.0",-2.7183,Gaussian,0.02485795529687506,0.0,0.0,0.0,1.2699454969436892,1.2699454969436892,3.4836610927345246,3.4836610927345246
"n0=0.0,n1=0.0",100.0,Gaussian,0.0,0.0,0.0,0.0,-1.2533141373155003,-1.2533141373155003,125.33141373155003,125.33141373155003
"n0=0.0,n1=0.0",-100.0,Gaussian,0.0,0.0,0.0,0.0,1.2533141373155003,1.2533141373155003,125.33141373155003,125.33141373155003
"n0=0.0,n1=0.0",0.0001,Gaussian,0.999999995,0.0,0.0,0.0,0.8555243888596623,0.8555243888596623,0.8554388321431544,0.8554388321431544
"n0=0.0,n1=0.0",-0.0001,Gaussian,0.999999995,0.0,0.0,0.0,0.8557243888593289,0.8557243888593289,0.855809957019593,0.855809957019593
"n0=0.0,n1=0.0",10.0,Gaussian,1.9287498479639178e-22,0.0,0.0,0.0,-1.2533141373155003,-1.2533141373155003,12.533141373155004,12.533141373155004
"n0=0.0,n1=0.0",-10.0,Gaussian,1.9287498479639178e-22,0.0,0.0,0.0,1.2533141373155003,1.2533141373155003,12.533141373155004,12.533141373155004
"n0=0.0,n1=0.0",7.0,Gaussian,2.289734845645553e-11,0.0,0.0,0.0,-1.253314137289395,-1.253314137289395,8.773198960997068,8.773198960997068
"n0=0.0,n1=0.0",-7.0,Gaussian,2.289734845645553e-11,0.0,0.0,0.0,1.2533141373351895,1.2533141373351895,8.773198961375023,8.773198961375023
"n0=0.0,n1=0.0",1.0,Tanh,0.7615941559557649,0.0,0.0,0.0,-0.1681108158519928,-0.1681108158519928,0.04007860094615934,0.04007860094615934
"n0=0.0,n1=0.0",2.0,Tanh,0.9640275800758169,0.0,0.0,0.0,-0.9183415692135044,-0.9183415692135044,0.9513765377750858,0.9513765377750858
"n0=0.0,n1=0.0",5.0,Tanh,0.9999092042625951,0.0,0.0,0.0,-3.8731865356280517,-3.8731865356280517,15.493097811339815,15.493097811339815
"n0=0.0,n1=0.0",-1.0,Tanh,-0.7615941559557649,0.0,0.0,0.0,-0.1681108158519928,-0.1681108158519928,-0.04007860094615934,0.04007860094615934
"n0=0.0,n1=0.0",-2.0,Tanh,-0.9640275800758169,0.0,0.0,0.0,-0.9183415692135044,-0.9183415692135044,-0.9513765377750858,0.9513765377750858
"n0=0.0,n1=0.0",-5.0,Tanh,-0.9999092042625951,0.0,0.0,0.0,-3.8731865356280517,-3.8731865356280517,-15.493097811339815,15.493097811339815
"n0=0.0,n1=0.0",0.5,Tanh,0.46211715726000974,0.0,0.0,0.0,-0.016935457165941536,-0.016935457165941536,0.0006415632605472048,0.0006415632605472048
"n0=0.0,n1=0.0",0.25,Tanh,0.24491866240370913,0.0,0.0,0.0,-0.0012323687937872208,-0.0012323687937872208,6.262081884366626e-06,6.262081884366626e-06
"n0=0.0,n1=0.0",-0.75,Tanh,-0.6351489523872873,0.0,0.0,0.0,-0.06882006430283309,-0.06882006430283309,-0.007904056481954629,0.007904056481954629
"n0=0.0,n1=0.0",3.1416,Tanh,0.9962721308919683,0.0,0.0,0.0,-2.019373862403698,-2.019373862403698,4.332219025162981,4.332219025162981
"n0=0.0,n1=0.0",1.4142,Tanh,0.8883827029950047,0.0,0.0,0.0,-0.42693722484817137,-0.42693722484817137,0.2244909775604793,0.2244909775604793
"n0=0.0,n1=0.0",-2.7183,Tanh,-0.9913292295625946,0.0,0.0,0.0,-1.6023045503432856,-1.6023045503432856,-2.7671331237817043,2.7671331237817043
"n0=0.0,n1=0.0",100.0,Tanh,1.0,0.0,0.0,0.0,-98.87307198895704,-98.87307198895704,9788.434126906746,9788.434126906746
"n0=0.0,n1=0.0",-100.0,Tanh,-1.0,0.0,0.0,0.0,-98.87307198895704,-98.87307198895704,-9788.434126906746,9788.434126906746
"n0=0.0,n1=0.0",0.0001,Tanh,9.999999966666667e-05,0.0,0.0,0.0,-3.333333348522415e-17,-3.333333348522415e-17,1.1111111146345298e-29,1.1111111146345298e-29
"n0=0.0,n1=0.0",-0.0001,Tanh,-9.999999966666667e-05,0.0,0.0,0.0,-3.333333348522415e-17,-3.333333348522415e-17,-1.1111111146345298e-29,1.1111111146345298e-29
"n0=0.0,n1=0.0",10.0,Tanh,0.9999999958776927,0.0,0.0,0.0,-8.873071994157707,-8.873071994157707,79.85764798399688,79.85764798399688
"n0=0.0,n1=0.0",-10.0,Tanh,-0.9999999958776927,0.0,0.0,0.0,-8.873071994157707,-8.873071994157707,-79.85764798399688,79.85764798399688
"n0=0.0,n1=0.0",7.0,Tanh,0.9999983369439447,0.0,0.0,0.0,-5.8730740870585905,-5.8730740870585905,35.23845428960297,35.23845428960297
"n0=0.0,n1=0.0",-7.0,Tanh,-0.9999983369439447,0.0,0.0,0.0,-5.8730740870585905,-5.8730740870585905,-35.23845428960297,35.23845428960297
"n0=0.2,n1=-0.1",1.0,Linear,1.0,0.2,-0.1,0.05,0.0,0.05,0.3,0.3
"n0=0.2,n1=-0.1",2.0,Linear,2.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",5.0,Linear,5.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-1.0,Linear,-1.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-2.0,Linear,-2.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-5.0,Linear,-5.0,0.2,-0.1,0.05,0.0,0.05,0.3,0.3
"n0=0.2,n1=-0.1",0.5,Linear,0.5,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",0.25,Linear,0.25,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-0.75,Linear,-0.75,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",3.1416,Linear,3.1416,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",1.4142,Linear,1.4142,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-2.7183,Linear,-2.7183,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",100.0,Linear,100.0,0.2,-0.1,0.05,0.0,0.05,0.2999999999999998,0.2999999999999998
"n0=0.2,n1=-0.1",-100.0,Linear,-100.0,0.2,-0.1,0.05,0.0,0.05,0.2999999999999998,0.2999999999999998
